Index,Nom de l'animal,Règne,Embranchement,Sous-embranchement,Classe,Sous-classe,Infra-classe,Ordre,Super-ordre,Sous-ordre,Infra-ordre,Famille,Super-famille,Sous-famille,Genre,Sous-genre,Tribu,Clade
213,Philippine Flying Lemur,Animaux,Chordés,Vertébrés,Mammifères,,,Dermoptera,,,,Cynocephalidae,,,Cynocephalus,,,
214,Przewalski's Horse,Animaux,Chordés,Vertébrés,Mammifères,,,Perissodactyla,,,,Equidae,,,Equus,,,
215,Bighorn Sheep,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Caprinae,Ovis,,,
216,Dugong,Animaux,Chordés,Vertébrés,Mammifères,,,Sirenia,,,,Dugongidae,,,Dugong,,,
217,Okapi,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Giraffidae,,,Okapia,,,
218,Narwhal,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Monodontidae,,,Monodon,,,
219,Argali,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Caprinae,Ovis,,,
220,European Mink,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,Mustelinae,Mustela,,,
221,Marine Otter,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,Lutrinae,Lontra,,,
222,Eastern Barred Bandicoot,Animaux,Chordés,Vertébrés,Mammifères,,Marsupial,Peramelemorphia,,,,Peramelidae,,,Perameles,,,
223,Four-Toed Hedgehog,Animaux,Chordés,Vertébrés,Mammifères,,,Eulipotyphla,,,,Erinaceidae,,,Atelerix,,,
224,Goodfellow's Tree-Kangaroo,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Macropodidae,,,Dendrolagus,,,
225,Common Wallaroo,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Macropodidae,,,Macropus,Osphranter,,
226,Thirteen-Lined Ground Squirrel,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Ictidomys,,,
227,Egyptian Fruit Bat,Animaux,Chordés,Vertébrés,Mammifères,,,Chiroptera,,,,Pteropodidae,,Pteropodinae,Rousettus,,,
228,Snow Leopard,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,,Panthera,,,
229,Golden Monkey,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,Cercopithecinae,Cercopithecus,,Cercopithecini,
230,Elk,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,Ruminantia,,Cervidae,,Cervinae,Cervus,,,
231,Binturong,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,,,Viverridae,,Paradoxurinae,Arctictis,,,
232,Common Eland,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Bovinae,Taurotragus,,,
233,Sumatran Orangutan,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Hominidae,,,Pongo,,,
234,Cape Fox,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Vulpes,,,
235,Hamadryas Baboon,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,Cercopithecinae,Papio,,Papionini,
236,Sable Antelope,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Hippotraginae,Hippotragus,,,
237,Maned Wolf,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Chrysocyon,,,
238,Rhesus macaque,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Macaca,,,
239,Indian Giant Squirrel,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Ratufa,,,
240,Onager,Animaux,Chordés,Vertébrés,Mammifères,,,Perissodactyla,,,,Equidae,,,Equus,Asinus,,
241,Geoffroy's Cat,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,Felinae,Leopardus,,,
242,Roe Deer,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,Ruminantia,,Cervidae,,Capreolinae,Capreolus,,,
243,Bank Vole,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Cricetidae,,,Myodes,,,
244,Brown Bear,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Ursidae,,,Ursus,,,
245,American Badger,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,Taxideinae,Taxidea,,,
246,Jaguar,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,,Panthera,,,
247,Red Kangaroo,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Macropodidae,,,Macropus,Osphranter,,
248,Golden Jackal,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Canis,,,
249,Common Kusimanse,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Herpestidae,,,Crossarchus,,,
250,African Wild Ass,Animaux,Chordés,Vertébrés,Mammifères,,,Perissodactyla,,,,Equidae,,,Equus,Asinus,,
251,Abert's Squirrel,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Sciurus,Otosciurus,,
252,Caspian Seal,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Phocidae,,,Pusa,,,Pinnipedia
253,Alpaca,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Camelidae,,,Vicugna,,,
254,House Mouse,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Muridae,Muroidea,,Mus,,,
255,Quagga,Animaux,Chordés,Vertébrés,Mammifères,,,Perissodactyla,,,,Equidae,,,Equus,,,
256,Eastern Quoll,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Dasyuromorphia,,,,Dasyuridae,,,Dasyurus,,,
257,Yellow Baboon,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,Cercopithecinae,Papio,,Papionini,
258,Oriental Small-Clawed Otter,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,Lutrinae,Amblonyx,,,
259,Raccoon,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Procyonidae,,,Procyon,,,
260,Tonkin Snub-Nosed Monkey,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Rhinopithecus,,,
261,Yellow Mongoose,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Herpestidae,,Herpestinae,Cynictis,,,
262,Blue-Eyed Black Lemur,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Strepsirrhini,,Lemuridae,,,Eulemur,,,
263,European Hedgehog,Animaux,Chordés,Vertébrés,Mammifères,,,Eulipotyphla,,,,Erinaceidae,,,Erinaceus,,,
264,Australian Fur Seal,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Otariidae,,,Arctocephalus,,,Pinnipedia
265,Mountain Zebra,Animaux,Chordés,Vertébrés,Mammifères,,,Perissodactyla,,,,Equidae,,,Equus,Hippotigris,,
266,African Clawless Otter,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,,Aonyx,,,
267,European Badger,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,,Meles,,,
268,Bonobo,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Hominidae,,,Pan,,,
269,North American River Otter,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,Lutrinae,Lontra,,,
270,Aye-Aye,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Strepsirrhini,,Daubentoniidae,Lemuroidea,,Daubentonia,,,
271,Smooth-Coated Otter,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,Lutrinae,Lutrogale,,,
272,Ethiopian Wolf,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Canis,,,
273,Pallas's Cat,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,,Otocolobus,,,
274,Philippine Tarsier,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,,,Tarsiidae,,,Carlito,,,
275,Djungarian Hamster,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Cricetidae,,,Phodopus,,,
276,Golden Lion Tamarin,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,,,Callitrichidae,,,Leontopithecus,,,
277,Lar Gibbon,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Hylobatidae,,,Hylobates,,,
278,Clouded Leopard,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,,Neofelis,,,
279,Siberian Chipmunk,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Eutamias,,,
280,Coypu,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Echimyidae,Octodontoidea,Echimyinae,Myocastor,,Myocastorini,
281,Black Flying Fox,Animaux,Chordés,Vertébrés,Mammifères,,,Chiroptera,,,,Pteropodidae,,,Pteropus,,,
282,Pampas Cat,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,Felinae,Leopardus,,,
283,Long-Tailed Weasel,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,Mustelinae,Mustela,,,
284,Common Bottlenose Dolphin,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Delphinidae,,,Tursiops,,,
285,Wild Yak,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Bovinae,Bos,,,
286,Wood Mouse,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Muridae,Muroidea,Murinae,Apodemus,,,
287,Arctic Hare,Animaux,Chordés,Vertébrés,Mammifères,,,Lagomorpha,,,,Leporidae,,,Lepus,,,
288,Western Grey Kangaroo,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Macropodidae,,,Macropus,,,
289,Mule Deer,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,Ruminantia,,Cervidae,,Capreolinae,Odocoileus,,,
290,African Golden Cat,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,Felinae,Caracal,,,
291,Linnaeus's Two-Toed Sloth,Animaux,Chordés,Vertébrés,Mammifères,,,Pilosa,,,,Megalonychidae,,,Choloepus,,,
292,Leopard Seal,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Phocidae,,Monachinae,Hydrurga,,Lobodontini,Pinnipedia
293,Fishing Cat,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,,Prionailurus,,,
294,Common Brushtail Possum,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Phalangeridae,,,Trichosurus,,,
295,Norway Lemming,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Cricetidae,,,Lemmus,,,
296,Plains Zebra,Animaux,Chordés,Vertébrés,Mammifères,,,Perissodactyla,,,,Equidae,,,Equus,,,
297,Black-Footed Ferret,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,Mustelinae,Mustela,,,
298,Polar Bear,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Ursidae,,,Ursus,,,
299,Gaur,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Bovinae,Bos,,,
300,Roloway Monkey,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,Cercopithecinae,Cercopithecus,,Cercopithecini,
301,Bactrian Camel,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Camelidae,,,Camelus,,,
302,Tammar Wallaby,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Macropodidae,,,Macropus,,,
303,Fat-Tailed Dunnart,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Dasyuromorphia,,,,Dasyuridae,,,Sminthopsis,,,
304,Meadow Vole,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Cricetidae,,,Microtus,Mynomes,,
305,New Zealand Fur Seal,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Otariidae,,,Arctocephalus,,,Pinnipedia
306,Senegal Bushbaby,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,,,Galagidae,,,Galago,,,
307,Brown Spider Monkey,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Atelidae,,Atelinae,Ateles,,,
308,Asian Golden Cat,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,,Catopuma,,,
309,Yellow-Bellied Marmot,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Marmota,Petromarmota,,
310,Honey Possum,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Tarsipedidae,,,Tarsipes,,,
311,Grant's Gazelle,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Antilopinae,Nanger,,,
312,Rock Hyrax,Animaux,Chordés,Vertébrés,Mammifères,,,Hyracoidea,,,,Procaviidae,,,Procavia,,,
313,Northern Hairy-Nosed Wombat,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Vombatidae,,,Lasiorhinus,,,
314,Short-Beaked Echidna,Animaux,Chordés,Vertébrés,Mammifères,,,Monotremata,,,,Tachyglossidae,,,Tachyglossus,,,
315,Straw-Coloured Fruit Bat,Animaux,Chordés,Vertébrés,Mammifères,,,Chiroptera,,,,Pteropodidae,,,Eidolon,,,
316,Platypus,Animaux,Chordés,Vertébrés,Mammifères,,,Monotremata,,,,Ornithorhynchidae,,,Ornithorhynchus,,,
317,Olive Baboon,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,Cercopithecinae,Papio,,Papionini,
318,Blue Whale,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Balaenopteridae,,,Balaenoptera,,,
319,Yellow-Tailed Woolly Monkey,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Atelidae,,,Oreonax,,,
320,Eastern Spotted Skunk,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mephitidae,,,Spilogale,,,
321,Bat-Eared Fox,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Otocyon,,,
322,Common Ringtail Possum,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Pseudocheiridae,,Pseudocheirinae,Pseudocheirus,,,
323,Wolverine,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,,Gulo,,,
324,Eastern Wolf,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Canis,,,
325,Campbell's Dwarf Hamster,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Cricetidae,,,Phodopus,,,
326,Siamang Gibbon,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Hylobatidae,,,Symphalangus,,,
327,Reindeer,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,Ruminantia,,Cervidae,,Capreolinae,Rangifer,,Rangiferini,
328,Paca,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Cuniculidae,,,Cuniculus,,,
329,Pygmy Slow Loris,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Strepsirrhini,,Lorisidae,,,Nycticebus,,,
330,Indian Muntjac,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,Ruminantia,,Cervidae,,Cervinae,Muntiacus,,,
331,Jungle Cat,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,,Felis,,,
332,Striped Skunk,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mephitidae,,,Mephitis,,,
333,Mandrill,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Mandrillus,,,
334,Eastern Mole,Animaux,Chordés,Vertébrés,Mammifères,,,Eulipotyphla,,,,Talpidae,,,Scalopus,,Scalopini,
335,Golden-Mantled Ground Squirrel,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Callospermophilus,,,
336,Fat-Tailed Dwarf Lemur,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Strepsirrhini,,Cheirogaleidae,,,Cheirogaleus,,,
337,Northern Sportive Lemur,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Strepsirrhini,,Lepilemuridae,,,Lepilemur,,,
338,Leadbeater's Possum,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Petauridae,,,Gymnobelideus,,,
339,Banded Mongoose,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Herpestidae,,,Mungos,,,
340,Bornean Orangutan,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Hominidae,,,Pongo,,,
341,Pygmy Hippo,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Hippopotamidae,,,Choeropsis,,,
342,Javan Rhinoceros,Animaux,Chordés,Vertébrés,Mammifères,,,Perissodactyla,,,,Rhinocerotidae,,,Rhinoceros,,,
343,Sea Otter,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,Lutrinae,Enhydra,,,
344,Red Howler Monkey,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Atelidae,,,Alouatta,,,
345,North American Porcupine,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Erethizontidae,,Erethizontinae,Erethizon,,,
346,Franklin's Ground Squirrel,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,Xerinae,Poliocitellus,,Marmotini,
347,Prehesile-Tailed Porcupine,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Erethizontidae,,Erethizontinae,Coendou,,,
348,Barbary Sheep,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Caprinae,Ammotragus,,,
349,Hourglass Dolphin,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Delphinidae,,,Lagenorhynchus,,,
350,Southern Flying Squirrel,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Glaucomys,,Pteromyini,
351,Large Indian Civet,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,,,Viverridae,,Viverrinae,Viverra,,,
352,Iriomote Cat,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,,Prionailurus,,,
353,Common Shrew,Animaux,Chordés,Vertébrés,Mammifères,,,Eulipotyphla,,,,Soricidae,,,Sorex,,,
354,Mountain Pygmy Possum,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Burramyidae,,,Burramys,,,
355,Guinea Baboon,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,Cercopithecinae,Papio,,Papionini,
356,Bald Uakari,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Pitheciidae,,,Cacajao,,,
357,Gilbert's Potoroo,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Potoroidae,,,Potorous,,,
358,Bongo Antelope,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Bovinae,Tragelaphus,,,
359,Kinkajou,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Procyonidae,,,Potos,,,
360,Baikal Seal,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Phocidae,,,Pusa,,,Pinnipedia
361,Black-Backed Jackal,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Canis,,,
362,White-Footed Mouse,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Cricetidae,,,Peromyscus,,Reithrodontomyini,
363,Giant Otter,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,,Pteronura,,,
364,Asian Wild Water Buffalo,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Bovinae,Bubalus,,,
365,Northern Quoll,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Dasyuromorphia,,,,Dasyuridae,,,Dasyurus,,,
366,Striped Possum,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Petauridae,,,Dactylopsila,,,
367,Syrian Hamster,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Cricetidae,,,Mesocricetus,,,
368,Mantled Howler Monkey,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Atelidae,,,Alouatta,,,
369,Indian Rhinoceros,Animaux,Chordés,Vertébrés,Mammifères,,,Perissodactyla,,,,Rhinocerotidae,,,Rhinoceros,,,
370,White-Faced Saki,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Pitheciidae,,Pitheciinae,Pithecia,,,
371,Aardvark,Animaux,Chordés,Vertébrés,Mammifères,,,Tubulidentata,,,,Orycteropodidae,,,Orycteropus,,,
372,Red-Faced Spider Monkey,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Atelidae,,Atelinae,Ateles,,,
373,Monito Del Monte,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Microbiotheria,,,,Microbiotheriidae,,,Dromiciops,,,
374,Meadow Jumping Mouse,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Dipodidae,,Zapodinae,Zapus,,,
375,Weddell Seal,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Phocidae,,,Leptonychotes,,,Pinnipedia
376,Common Hippo,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Hippopotamidae,,,Hippopotamus,,,
377,Greater Bamboo Lemur,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Strepsirrhini,,Lemuridae,,,Prolemur,,,
378,Spinner Dolphin,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Delphinidae,,,Stenella,,,
379,Leopard Cat,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,,Prionailurus,,,
380,Brazilian Tapir,Animaux,Chordés,Vertébrés,Mammifères,,,Perissodactyla,,,,Tapiridae,,,Tapirus,,,
381,Brush-Tailed Rock-Wallaby,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Macropodidae,,,Petrogale,,,
382,Dingo,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Canis,,,
383,Sumatran Rhinoceros,Animaux,Chordés,Vertébrés,Mammifères,,,Perissodactyla,,,,Rhinocerotidae,,,Dicerorhinus,,,
384,Walrus,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Odobenidae,,,Odobenus,,,Pinnipedia
385,Bay Cat,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,,Catopuma,,,
386,Grévy's Zebra,Animaux,Chordés,Vertébrés,Mammifères,,,Perissodactyla,,,,Equidae,,,Equus,Dolichohippus,,
387,Short-Tailed Chinchilla,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Chinchillidae,,,Chinchilla,,,
388,Ribbon Seal,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Phocidae,,,Histriophoca,,,Pinnipedia
389,Thomson's Gazelle,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Antilopinae,Eudorcas,,,
390,De Brazza's Monkey,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,Cercopithecinae,Cercopithecus,,Cercopithecini,
391,Striped Dolphin,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Delphinidae,,,Stenella,,,
392,Black Lion Tamarin,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,,,Callitrichidae,,,Leontopithecus,,,
393,Black Howler Monkey,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Atelidae,,,Alouatta,,,
394,Chacma Baboon,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,Cercopithecinae,Papio,,Papionini,
395,Desert Kangaroo Rat,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Heteromyidae,,,Dipodomys,,,
396,Crested Porcupine,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Hystricidae,,,Hystrix,,,
397,Eurasian Beaver,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Castoridae,,,Castor,,,
398,Eastern Grey Kangaroo,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Macropodidae,,,Macropus,,,
399,Red-rumped Agouti,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Dasyproctidae,,,Dasyprocta,,,
400,Feathertail Glider,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,Phalangerida,,Acrobatidae,,,Acrobates,,,
401,Harp Seal,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Phocidae,,,Pagophilus,,,Pinnipedia
402,Capybara,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Caviidae,,,Hydrochoerus,,,
403,Black Rhinoceros,Animaux,Chordés,Vertébrés,Mammifères,,,Perissodactyla,,,,Rhinocerotidae,,,Diceros,,,
404,Amazonian Manatee,Animaux,Chordés,Vertébrés,Mammifères,,,Sirenia,,,,Trichechidae,,,Trichechus,,,
405,Northern Flying Squirrel,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Glaucomys,,Pteromyini,
406,Squirrel Glider,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Petauridae,,,Petaurus,,,
407,Gray Mouse Lemur,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Strepsirrhini,,Cheirogaleidae,,,Microcebus,,,
