Index,Nom de l'animal,Règne,Embranchement,Sous-embranchement,Classe,Sous-classe,Infra-classe,Ordre,Super-ordre,Sous-ordre,Infra-ordre,Famille,Super-famille,Sous-famille,Genre,Sous-genre,Tribu,Clade
60,Hyène brune,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Hyaenidae,,,Hyaena,,,
61,Mara de Patagonie,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Caviidae,,,Dolichotis,,,
62,Vison de mer,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,Mustelinae,Neovison,,,
63,Antilope cervicapre,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Bovidae,,Antilopinae,Antilope,,,
64,Élaphe d'eau,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,Ruminantia,,Cervidae,,Cervinae,Elaphodus,,,
65,Rhinopithèque de Roxellane,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Rhinopithecus,,,
66,Rhinocéros blanc,Animaux,Chordés,Vertébrés,Mammifères,,,Perissodactyla,,,,Rhinocerotidae,,,Ceratotherium,,,
67,Éléphant de savane d'Afrique,Animaux,Chordés,Vertébrés,Mammifères,,,Proboscidea,,,,Elephantidae,,,Loxodonta,,,
68,Roussette de l'Inde,Animaux,Chordés,Vertébrés,Mammifères,,,Chiroptera,,,,Pteropodidae,,,Pteropus,,,
69,Cerf Sika,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,Ruminantia,,Cervidae,,Cervinae,Cervus,,,
70,Cerf élaphe,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,Ruminantia,,Cervidae,,Cervinae,Cervus,,,
71,Loup doré africain,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Canis,,,
72,Macaque ouandérou,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Macaca,,,
73,Macaque crabier,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Macaca,,,
74,Semnopithèque obscur,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Trachypithecus,,,
75,Atèle à tête noire,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Atelidae,,Atelinae,Ateles,,,
76,Renard gris,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Urocyon,,,
77,Mangouste grise de l'Inde,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Herpestidae,,Herpestinae,Herpestes,,,
78,Kangourou antilope,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Macropodidae,,,Macropus,Osphranter,,
79,Macaque japonais,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Macaca,,,
80,Renard roux,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Vulpes,,,
81,Chien des buissons,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Speothos,,,
82,Ocelot,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,Felinae,Leopardus,,,
83,Sanglier,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Suidae,,,Sus,,,
84,Hérisson du désert,Animaux,Chordés,Vertébrés,Mammifères,,,Eulipotyphla,,,,Erinaceidae,,,Paraechinus,,,
85,Écureuil de Douglas,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Tamiasciurus,,,
86,Gerboise à longues oreilles,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Dipodidae,,Euchoreutinae,Euchoreutes,,,
87,Tamarin empereur,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,,,Callitrichidae,,,Saguinus,,,
88,Nasique,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Nasalis,,,
89,Dromadaire,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Camelidae,,,Camelus,,,
90,Kodkod,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,Felinae,Leopardus,,,
91,Star-Nosed Mole,Animaux,Chordés,Vertébrés,Mammifères,,,Eulipotyphla,,,,Talpidae,,Scalopinae,Condylura,,Condylurini,
92,Spectacled Flying Fox,Animaux,Chordés,Vertébrés,Mammifères,,,Chiroptera,,,,Pteropodidae,,,Pteropus,,,
93,Virginia Opossum,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Didelphimorphia,,,,Didelphidae,,,Didelphis,,,
94,Iberian Lynx,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,,Lynx,,,
95,Brush Rabbit,Animaux,Chordés,Vertébrés,Mammifères,,,Lagomorpha,,,,Leporidae,,,Sylvilagus,,,
96,Japanese Dwarf Flying Squirrel,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Pteromys,,Pteromyini,
97,Giant Panda,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Ursidae,,,Ailuropoda,,,
98,Margay,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,Felinae,Leopardus,,,
99,American Mink,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,Mustelinae,Neovison,,,
100,Cotton-Top Tamarin,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,,,Callitrichidae,,,Saguinus,,,
101,Spotted Hyena,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Hyaenidae,,,Crocuta,,,
102,Andean Mountain Cat,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,Felinae,Leopardus,,,
103,Long-Eared Hedgehog,Animaux,Chordés,Vertébrés,Mammifères,,,Eulipotyphla,,,,Erinaceidae,,,Hemiechinus,,,
104,Tree Pangolin,Animaux,Chordés,Vertébrés,Mammifères,,,Pholidota,,,,Manidae,,,Phataginus,,,
105,Northwestern Wolf,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Canis,,,
106,Red Squirrel,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Sciurus,,,
107,Green Monkey,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Cercopithecidae,,,Chlorocebus,,,
108,Red Panda,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Ailuridae,,,Ailurus,,,
109,White-Tailed Deer,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,Ruminantia,,Cervidae,,Capreolinae,Odocoileus,,,
110,Least Weasel,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,Mustelinae,Mustela,,,
111,Collared Pika,Animaux,Chordés,Vertébrés,Mammifères,,,Lagomorpha,,,,Ochotonidae,,,Ochotona,,,
112,African Lion,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,,Panthera,,,
113,Llama,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Camelidae,,,Lama,,,
114,Jaguarundi,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,,Puma,,,
115,Dhole,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Canidae,,,Cuon,,,
116,Chinese Pangolin,Animaux,Chordés,Vertébrés,Mammifères,,,Pholidota,,,,Manidae,,,Manis,,,
117,Bobcat,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,,Lynx,,,
118,Cheetah,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,,Acinonyx,,,
119,Giraffe,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Giraffidae,,,Giraffa,,,
120,Indian Pangolin,Animaux,Chordés,Vertébrés,Mammifères,,,Pholidota,,,,Manidae,,,Manis,,,
121,Brown Rat,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Muridae,Muroidea,,Rattus,,,
122,Ground Pangolin,Animaux,Chordés,Vertébrés,Mammifères,,,Pholidota,,,,Manidae,,,Smutsia,,,
123,Southern Pudu,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,Ruminantia,,Cervidae,,Capreolinae,Pudu,,,
124,Oncilla,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,Felinae,Leopardus,,,
125,Pine Marten,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Caniformia,,Mustelidae,,,Martes,,,
126,Spider Monkey,Animaux,Chordés,Vertébrés,Mammifères,,,Primates,,Haplorhini,Simiiformes,Atelidae,,Atelinae,Ateles,,,
127,Eastern Gray Squirrel,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Sciurus,,,
128,Irrawaddy Dolphin,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Delphinidae,,,Orcaella,,,
129,Bushy-Tailed Woodrat,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Cricetidae,,,	Neotoma,,,
130,Fossa,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Eupleridae,,,Cryptoprocta,,,
131,Finless Porpoise,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,Cetacea,Phocoenidae,,,Neophocaena,,,
132,Vicuna,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Camelidae,,,Vicugna,,,
133,Sand Cat,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,,Felis,,,
134,Brown-Throated Three-Toed Sloth,Animaux,Chordés,Vertébrés,Mammifères,,,Pilosa,,,,Bradypodidae,,,Bradypus,,,
135,Siberian Musk Deer,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Moschidae,,,Moschus,,,
136,Western Gray Squirrel,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,,Sciurus,Hesperosciurus,,
137,Woylie,Animaux,Chordés,Vertébrés,Mammifères,,Marsupialia,Diprotodontia,,,,Potoroidae,,,Bettongia,,,
138,Guanaco,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,,,Camelidae,,,Lama,,,
139,Fallow Deer,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,Ruminantia,,Cervidae,,Cervinae,Dama,,Cervini,
140,Axis Deer,Animaux,Chordés,Vertébrés,Mammifères,,,Artiodactyla,,Ruminantia,,Cervidae,,Cervinae,Axis,,,
141,Rusty-Spotted Cat,Animaux,Chordés,Vertébrés,Mammifères,,,Carnivores,,Feliformia,,Felidae,,,Prionailurus,,,
142,Little Brown Bat,Animaux,Chordés,Vertébrés,Mammifères,,,Chiroptera,,,,Vespertilionidae,,Myotinae,Myotis,,,
143,Eastern Chipmunk,Animaux,Chordés,Vertébrés,Mammifères,,,Rongeurs,,,,Sciuridae,,Xerinae,Tamias,,Marmotini,
